b4_site_smc_agency_name,c1_type_of_site,c2_landowner,c3_tenancy_agreement_for_at_least_6_months,b1_site_management,b7_community_committee_in_place,d1_most_common_reason_idps_left_place_of_origin,a8_population_groups_other_than_idps_in_site_select_all_applicable,d3_most_common_intention_in_next_three_months,c4_general_market_in_site_close_proximity,d2_1_most_common_district_of_idp_origin,d2_2_second_most_common_district_of_idp_origin,d2_3_third_most_common_district_of_idp_origin,c6_electricity_solar_power_available_in_site,c5_fuel_available_in_site_close_proximity,c8_primary_water_source,c9_primary_shelter_type,c10_primary_latrine_type,i1_top_priority_need,i2_second_priority_need,i3_third_priority_need,psp_rrm_distributions,psp_shelter_maintenance_services,psp_nfi_distribution,psp_food_distribution,psp_cash_distributions,psp_wash_services,psp_health_services,psp_education_services,psp_livelihood_services,psp_protection_services,psp_nutrition_services,psp_waste_disposal_services,if_ngo_rrm_distributions,if_ngo_shelter_maintenance_services,if_ngo_nfi_distribution,if_ngo_food_distribution,if_ngo_cash_distributions,if_ngo_wash_services,if_ngo_health_services,if_ngo_education_services,if_ngo_livelihood_services,if_ngo_protection_services,if_ngo_nutrition_services,if_ngo_waste_disposal_services,c7_presence_of_particularly_vulnerable_groups.unaccompanied_separated_children,c7_presence_of_particularly_vulnerable_groups.child_headed_hh,c7_presence_of_particularly_vulnerable_groups.elderly,c7_presence_of_particularly_vulnerable_groups.female_headed_hh,c7_presence_of_particularly_vulnerable_groups.marginalized_people,c7_presence_of_particularly_vulnerable_groups.persons_with_disabilities,c7_presence_of_particularly_vulnerable_groups.persons_with_chronic_diseases_serious_medical_conditions,c7_presence_of_particularly_vulnerable_groups.pregnant_and_lactating_women,f1_threats_to_the_site.flooding,f1_threats_to_the_site.eviction,f1_threats_to_the_site.infectious_diseases,f1_threats_to_the_site.friction_between_communities,f1_threats_to_the_site.water_contamination,f1_threats_to_the_site.conflict_related_incidents,f1_threats_to_the_site.fire_related_incidents,a1_governorate_name,a2_district_name,a3_sub_district_name,a4_site_name,a4_site_code,a6_site_occupation_date_dd_mm_yy,a7_site_population_individual,a7_site_population_hh,a8_population_groups_other_than_idps_in_site_select_all_applicable,@rrm_distributions,@shelter_maintenance_services,@nfi_distribution,@food_distribution,@cash_distributions,@wash_services,@health_services,@education_services,@livelihood_services,@protection_services,@nutrition_services,@waste_disposal_services,@maps
N/A,Collective centre,Public ,No,Non-existent,Non-existent,"Security concerns (conflict, explosives, lack of security forces)",None,Return to origin,No,Nihm,Al Ashah,As Salafiyyah,Yes,No,Borehole,Public building,Pit latrine-covered,Food,Sanitation services,Shelter / maintenance assistance,NA,NA,NA,NGO/UN agency,NA,NGO/UN agency,Private,NA,NA,NA,NA,Private,NA,NA,NA,Islamic Relief Yemen (IRY),NA,UNICEF,NA,NA,NA,NA,NA,NA,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,No,Ma'rib,Madghal Al Jid'an,Madghal Al Jidan,Al Hazm Camp,YE2603 - 1232,12/1/2015,960,160,none,./merge/red.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/YEM_CCCM_Al Hazm Camp.pdf
N/A,Collective centre,Public ,No,Non-existent,Non-existent,"Security concerns (conflict, explosives, lack of security forces)",None,Return to origin,Yes,Amran,Al Haymah Ad Dakhiliyah,Al Haymah Al Kharijiyah,Yes,Yes,Borehole,Public building,Pit latrine-covered,Food,Sanitation services,Shelter / maintenance assistance,NA,NA,NA,NGO/UN agency,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Islamic Relief Yemen (IRY),NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Ma'rib,Madghal Al Jid'an,Madghal Al Jidan,Ka'b Bin Ka'lan Camp ,YE2603 - 1233,4/1/2015,1884,314,none,./merge/red.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/YEM_CCCM_Ka'b Bin Ka'lan Camp .pdf
N/A,Spontaneous settlement,Private,No,Non-existent,Non-existent,Natural disaster,None,Return to origin,No,Arma'a,NA,NA,No,No,Bottled water,Makeshift shelter,Open defection,Shelter / maintenance assistance,Water,Sanitation services,NA,NA,NA,NGO/UN agency,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Islamic Relief Yemen (IRY),NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Ma'rib,Madghal Al Jid'an,Madghal Al Jidan,As Samrah Camp ,YE2603 - 1234,1/1/2015,138,23,none,./merge/red.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/YEM_CCCM_As Samrah Camp .pdf
N/A,Spontaneous settlement,Private,No,Non-existent,Present,Evicted from property,None,Move elsewhere,Yes,Harad,Shar'ab Ar Rawnah,Az Zuhrah,No,No,Water Trucking,Makeshift shelter,Open defection,Shelter / maintenance assistance,Food,Sanitation services,NA,NA,NA,NGO/UN agency,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Islamic Relief Yemen (IRY),NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Ma'rib,Ma'rib City,Al Ashraf - Marib City,Mafraq Hurain - Muhammasheen ,YE2612 - 1235,11/1/2017,888,148,none,./merge/red.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/YEM_CCCM_Mafraq Hurain - Muhammasheen .pdf
N/A,Spontaneous settlement,Private,No,Non-existent,Non-existent,"Security concerns (conflict, explosives, lack of security forces)",NA,Stay in the site,Yes,Sirwah,Dhamar City,Al Qahirah,Yes,Yes,Borehole,Makeshift shelter,Pit latrine-covered,Water,Livelihood assistance,Cash assistance,NGO/UN agency,NA,NGO/UN agency,NGO/UN agency,NA,NGO/UN agency,NGO/UN agency,Government,NA,NA,NGO/UN agency,Government,National Foundation for Development & Humanitarian Response (NFDHR),NA,Millenium Development Foundation,World Food Programme (WFP),NA,UNICEF,UNICEF,NA,NA,NA,N/A,NA,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Ma'rib,Ma'rib City,Al Ashraf - Marib City,Rumailan ,YE2612 - 1236,6/1/2015,300,60,host community - migrants,./merge/green.png,./merge/red.png,./merge/orange.png,./merge/green.png,./merge/red.png,./merge/green.png,./merge/green.png,./merge/green.png,./merge/red.png,./merge/red.png,./merge/green.png,./merge/orange.png,./merge/YEM_CCCM_Rumailan .pdf
N/A,Spontaneous settlement,Private,No,Non-existent,Non-existent,"Security concerns (conflict, explosives, lack of security forces)",None,Stay in the site,Yes,Nihm,Arhab,Al Haymah Ad Dakhiliyah,No,Yes,Borehole,Makeshift shelter,Pit latrine-open,Livelihood assistance,Water,Non-food items,NA,NA,NA,NGO/UN agency,NA,NA,Private,Government,NA,NA,NGO/UN agency,NA,NA,NA,NA,Islamic Relief Yemen (IRY),NA,NA,NA,NA,NA,NA,N/A,NA,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Ma'rib,Ma'rib City,Al Ashraf - Marib City,Al-Munain Al-Qabli ,YE2612 - 1237,1/1/2017,1500,150,none,./merge/red.png,./merge/red.png,./merge/red.png,./merge/green.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/green.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/YEM_CCCM_Al-Munain Al-Qabli .pdf
N/A,Spontaneous settlement,Private,No,Private,Non-existent,House/livelihood assets destroyed/occupied,None,Stay in the site,Yes,Hazm Al Odayn,Dawran Anis,Ar Radmah,Yes,No,Borehole,Makeshift shelter,Open defection,Food,Sanitation services,Medical assistance,NA,NA,NA,NGO/UN agency,NA,NA,NA,Government,NA,NA,NA,NA,NA,NA,NA,World Food Programme (WFP),NA,NA,NA,NA,NA,NA,NA,NA,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Ma'rib,Ma'rib,Aal Jalal,Al-Ghawyah,YE2613 - 0004,11/1/2013,200,25,none,./merge/red.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/YEM_CCCM_Al-Ghawyah.pdf
N/A,Spontaneous settlement,Private,No,Private,Present,House/livelihood assets destroyed/occupied,Host community,Stay in the site,Yes,Dawran Anis,Al Hada,NA,No,No,Borehole,Makeshift shelter,Open defection,Food,Shelter / maintenance assistance,Cash assistance,NA,NA,NA,NA,NA,NA,NA,Government,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Ma'rib,Ma'rib,Aal Qazah,Sooq Al Hadba - Muhammasheen ,YE2613 - 1239,11/1/2015,300,60,host community,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/green.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/YEM_CCCM_Sooq Al Hadba - Muhammasheen .pdf
N/A,Spontaneous settlement,Private,No,Non-existent,Present,"Security concerns (conflict, explosives, lack of security forces)",Migrants,Stay in the site,Yes,Bajil,Al Marawi'ah,NA,Yes,Yes,Borehole,Makeshift shelter,Open defection,Medical assistance,Non-food items,Nutrition services,NA,NA,NA,NGO/UN agency,NA,Private,NA,Government,NA,NA,NA,NA,NA,NA,NA,National Foundation for Development & Humanitarian Response (NFDHR),NA,NA,NA,NA,NA,NA,NA,NA,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Ma'rib,Ma'rib,Aal Rashid Munif,Al Marda - Muhammasheen ,YE2613 - 1240,11/1/2017,700,140,migrants,./merge/red.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/green.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/YEM_CCCM_Al Marda - Muhammasheen .pdf
N/A,Collective centre,Private,No,Private,Non-existent,"Security concerns (conflict, explosives, lack of security forces)",None,Stay in the site,Yes,Razih,Dhamar City,Al Bayda City,Yes,Yes,Borehole,Own house/apartment,Pit latrine-covered,Food,Legal services,Medical assistance,NA,NA,NA,NA,NA,NA,NA,Government,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Ma'rib,Ma'rib,Aal Rashid Munif,Maarda'a Al Ghwaibi,YE2613 - 0264,11/1/2015,350,70,none,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/YEM_CCCM_Maarda'a Al Ghwaibi.pdf
IOM,Collective centre,Public ,No,NGO/UN agency,Present,"Security concerns (conflict, explosives, lack of security forces)",Host community,Stay in the site,Yes,Jabal Ras,Nihm,Maghrib Ans,Yes,Yes,Water Trucking,Emergency shelter,Pit latrine-open,Non-food items,Medical assistance,Education,NA,NA,NGO/UN agency,NA,NA,NA,Private,Government,NA,NA,NA,NA,NA,NA,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Ma'rib,Ma'rib City,Al Ashraf - Marib City,An Nasr,YE2612 - 1242,10/1/2015,806,154,host community,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/YEM_CCCM_An Nasr.pdf
N/A,Spontaneous settlement,Private,No,Non-existent,Present,"Security concerns (conflict, explosives, lack of security forces)",None,Stay in the site,Yes,Bajil,Al Makhadir,Midi,Yes,Yes,Borehole,Emergency shelter,Open defection,Cash assistance,Water,Shelter / maintenance assistance,NA,NA,NA,NGO/UN agency,NA,NA,Government,Government,NA,NA,NA,NA,NA,NA,NA,World Food Programme (WFP),NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Ma'rib,Ma'rib,Aal Jalal,Husoon All Hadi,YE2613 - 1243,3/1/2015,300,60,none,./merge/red.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/YEM_CCCM_Husoon All Hadi.pdf
N/A,Spontaneous settlement,Private,No,Non-existent,Non-existent,"Security concerns (conflict, explosives, lack of security forces)",None,Stay in the site,No,Sirwah,NA,NA,Yes,Yes,Borehole,Emergency shelter,Pit latrine-open,Shelter / maintenance assistance,Medical assistance,Food,NA,NA,NGO/UN agency,NGO/UN agency,NA,NA,NA,NA,NA,NA,NGO/UN agency,NA,NA,NA,Sama Al Yemen Development Foundation (SYDF),World Food Programme (WFP),NA,NA,NA,NA,NA,NA,UNICEF,NA,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Ma'rib,Sirwah,Arak,Lafj Al Melh Camp ,YE2606 - 1244,4/1/2015,360,60,none,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/YEM_CCCM_Lafj Al Melh Camp .pdf
N/A,Collective centre,Private,No,Private,Present,Lack of basic services,Host community,Return to origin,No,Sahar,Maghrib Ans,NA,Yes,No,Borehole,Transitional shelter,Pit latrine-covered,Shelter / maintenance assistance,Medical assistance,Sanitation services,NA,NA,NA,NGO/UN agency,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,World Food Programme (WFP),NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,Ma'rib,Ma'rib,Aal Rashid Munif,Al Kawlah,YE2613 - 0276,12/1/2017,1440,180,host community,./merge/red.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/YEM_CCCM_Al Kawlah.pdf
N/A,Spontaneous settlement,Private,No,Non-existent,Present,"Security concerns (conflict, explosives, lack of security forces)",None,Return to origin,No,Kitaf wa Al Boqa',NA,NA,Yes,No,Borehole,Makeshift shelter,Pit latrine-covered,Shelter / maintenance assistance,Water,Education,NA,NA,NA,NGO/UN agency,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,World Food Programme (WFP),NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Ma'rib,Ma'rib,Aal Jalal,Al-Raczah,YE2613 - 0036,6/1/2017,984,158,none,./merge/red.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/YEM_CCCM_Al-Raczah.pdf
N/A,Collective centre,Private,No,Non-existent,Present,Evicted from property,Host community,Return to origin,Yes,Nihm,Jabal Ras,Shar'ab As Salam,Yes,No,Borehole,Makeshift shelter,Pit latrine-open,Food,Sanitation services,Shelter / maintenance assistance,NA,NA,NA,NGO/UN agency,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Islamic Relief Yemen (IRY),NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,Yes,Ma'rib,Ma'rib City,Al Ashraf - Marib City,Maneen Al-Hadad,YE2612 - 0355,3/1/2016,2520,420,host community,./merge/red.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/YEM_CCCM_Maneen Al-Hadad.pdf
N/A,Spontaneous settlement,Private,No,Non-existent,Non-existent,Evicted from property,None,Return to origin,No,Khab wa Ash Sha'f,NA,NA,Yes,No,Borehole,Transitional shelter,Pit latrine-open,Shelter / maintenance assistance,Food,Livelihood assistance,NA,NA,NA,NGO/UN agency,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Islamic Relief Yemen (IRY),NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,Yes,Ma'rib,Ma'rib,Aal Rashid Munif,Al Hawi Al Shamali,YE2613 - 0278,2/1/2016,24,4,none,./merge/red.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/YEM_CCCM_Al Hawi Al Shamali.pdf
N/A,Spontaneous settlement,Owner not know,No,Non-existent,Present,Lack of basic services,None,Return to origin,No,Sirwah,Amran,Al Hazm,Yes,No,Borehole,Makeshift shelter,Pit latrine-covered,Water,Education,Medical assistance,NA,NA,NA,NGO/UN agency,NA,NGO/UN agency,NA,NA,NA,NA,NA,NA,NA,NA,NA,Islamic Relief Yemen (IRY),NA,UNICEF,NA,NA,NA,NA,NA,NA,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Ma'rib,Sirwah,Arak,Arak ,YE2606 - 1249,4/1/2015,900,150,none,./merge/red.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/YEM_CCCM_Arak .pdf
N/A,Spontaneous settlement,Private,No,Non-existent,Present,Evicted from property,None,Return to origin,No,Khab wa Ash Sha'f,NA,NA,Yes,No,Water Trucking,Makeshift shelter,Pit latrine-covered,Food,Shelter / maintenance assistance,Livelihood assistance,NA,NA,NA,NGO/UN agency,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Islamic Relief Yemen (IRY),NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Ma'rib,Ma'rib,Aal Rashid Munif,Al Wadi - Adhumain ,YE2613 - 1250,7/1/2016,96,16,none,./merge/red.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/YEM_CCCM_Al Wadi - Adhumain .pdf
N/A,Spontaneous settlement,Private,Yes,NGO/UN agency,Present,"Security concerns (conflict, explosives, lack of security forces)",Host community,Stay in the site,Yes,Al Jarrahi,Hays,NA,Yes,Yes,Piped water into compound/public tap,Emergency shelter,Flush latrine to the open,Food,Non-food items,Cash assistance,NA,NGO/UN agency,NGO/UN agency,NGO/UN agency,NA,Government,Government,Government,NA,NGO/UN agency,NA,NA,NA,Advance Foundation Development (AFD),Advance Foundation Development (AFD),World Food Programme (WFP),NA,NA,NA,NA,NA,INTERSOS,NA,NA,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,Lahj,Tuban,Al Hawtah - Tuban,Sofyan ,YE2515 - 1251,1/1/2017,320,40,host community,./merge/red.png,./merge/green.png,./merge/green.png,./merge/green.png,./merge/red.png,./merge/green.png,./merge/green.png,./merge/green.png,./merge/red.png,./merge/green.png,./merge/red.png,./merge/red.png,./merge/YEM_CCCM_Sofyan .pdf
N/A,Collective centre,Private,No,Non-existent,Non-existent,"Security concerns (conflict, explosives, lack of security forces)",None,Stay in the site,Yes,Zabid,Al Jarrahi,At Tuhayta,Yes,Yes,Piped water into compound/public tap,Rented house/appartment,Flush latrine to a tank/sewer system/pit,Food,Cash assistance,Non-food items,NGO/UN agency,NGO/UN agency,NGO/UN agency,NA,NA,NA,NA,Government,NA,NGO/UN agency,Government,NA,Action Contre la Faim (ACF),Advance Foundation Development (AFD),Advance Foundation Development (AFD),NA,NA,NA,NA,NA,NA,INTERSOS,NA,NA,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Lahj,Tuban,Al Hawtah - Tuban,Al Wahat ,YE2515 - 1252,7/1/2015,242,50,none,./merge/green.png,./merge/green.png,./merge/green.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/green.png,./merge/red.png,./merge/orange.png,./merge/green.png,./merge/red.png,./merge/YEM_CCCM_Al Wahat .pdf
Other,Collective centre,Private,No,Government,Non-existent,"Security concerns (conflict, explosives, lack of security forces)",None,Stay in the site,Yes,Al Hali,Bayt Al Faqih,Hayfan,Yes,Yes,Water Trucking,Rented house/appartment,Flush latrine to a tank/sewer system/pit,Food,Cash assistance,Medical assistance,NA,NGO/UN agency,NGO/UN agency,NGO/UN agency,NA,NA,NA,Government,NA,NA,NA,Government,NA,IOM,Advance Foundation Development (AFD),Field Medical Foundation (FMF),NA,NA,NA,NA,NA,NA,NA,NA,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Lahj,Tuban,Al Hawtah - Tuban,Bi'r Omar ,YE2515 - 1253,3/1/2017,938,137,none,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/green.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/YEM_CCCM_Bi'r Omar .pdf
Other,Spontaneous settlement,Private,No,Government,Non-existent,"Security concerns (conflict, explosives, lack of security forces)",Host community,Stay in the site,No,Al Jarrahi,Hays,Al Makha,No,No,Protected rainwater tank/well/spring,Makeshift shelter,Pit latrine-open,Shelter / maintenance assistance,Food,Medical assistance,NA,NA,NGO/UN agency,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Danish Refugee Council (DRC),NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Lahj,Tuban,Al Hawtah - Tuban,Dar Al Haytham,YE2515 - 1254,1/1/2017,168,24,host community,./merge/red.png,./merge/red.png,./merge/green.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/YEM_CCCM_Dar Al Haytham.pdf
Other,Collective centre,Private,No,Government,Present,"Security concerns (conflict, explosives, lack of security forces)",Host community,Stay in the site,Yes,Al Jarrahi,Hays,Shar'ab Ar Rawnah,No,Yes,Piped water into compound/public tap,Rented house/appartment,Pit latrine-open,Cash assistance,Food,Non-food items,NA,NA,NGO/UN agency,NA,NGO/UN agency,NA,NA,Government,NA,NA,NGO/UN agency,NA,NA,NA,Action Contre la Faim (ACF),NA,Save the Children,NA,NA,NA,NA,NA,Save the Children,NA,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Lahj,Al Malah,Al Malah,Al Mahwa'a ,YE2508 - 1255,6/1/2015,150,25,host community,./merge/red.png,./merge/red.png,./merge/green.png,./merge/red.png,./merge/green.png,./merge/red.png,./merge/red.png,./merge/green.png,./merge/red.png,./merge/red.png,./merge/green.png,./merge/red.png,./merge/YEM_CCCM_Al Mahwa'a .pdf
Other,Spontaneous settlement,Private,No,Government,Non-existent,"Security concerns (conflict, explosives, lack of security forces)",Host community,Stay in the site,No,Zabid,At Tuhayta,Al Wazi'yah,No,No,Borehole,Makeshift shelter,Open defection,Shelter / maintenance assistance,Non-food items,Education,NA,NA,NGO/UN agency,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nahda Makers Organization (NMO),NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Lahj,Tuban,Al Hawtah - Tuban,Om Hurez ,YE2515 - 1256,6/1/2017,180,30,host community,./merge/red.png,./merge/red.png,./merge/green.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/YEM_CCCM_Om Hurez .pdf
Other,Spontaneous settlement,Owner not know,No,NGO/UN agency,Non-existent,"Security concerns (conflict, explosives, lack of security forces)",Host community,Stay in the site,Yes,At Tuhayta,Zabid,NA,No,Yes,"Surface water (river, dam, lake, pond, stream, canal)",Emergency shelter,Flush latrine to a tank/sewer system/pit,Food,Water,Medical assistance,NA,NA,NGO/UN agency,NA,NA,Private,NA,NA,NA,NA,NA,NA,NA,NA,Nahda Makers Organization (NMO),NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,Lahj,Al Hawtah,Al Hawtah - Al Hawtah,Al Amal Camp ,YE2514 - 1257,5/1/2018,90,14,host community,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/YEM_CCCM_Al Amal Camp .pdf
Other,Collective centre,Private,No,Government,Present,"Security concerns (conflict, explosives, lack of security forces)",None,Stay in the site,Yes,Hayfan,Al Hali,NA,No,Yes,"Surface water (river, dam, lake, pond, stream, canal)",Host family house/apartment,Flush latrine to a tank/sewer system/pit,Water,Food,Non-food items,NA,NA,NA,NGO/UN agency,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,World Food Programme (WFP),NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,Lahj,Tuban,Al Hawtah - Tuban,Ameen Muqbel ,YE2515 - 1258,9/1/2017,320,60,none,./merge/red.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/YEM_CCCM_Ameen Muqbel .pdf
Other,Spontaneous settlement,Private,Yes,Private,Present,"Security concerns (conflict, explosives, lack of security forces)",None,Stay in the site,Yes,Maqbanah,Al Jarrahi,NA,No,No,Borehole,Makeshift shelter,Open defection,Food,Non-food items,Medical assistance,NA,NA,NA,NGO/UN agency,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Field Medical Foundation (FMF),NA,NA,NA,NA,NA,NA,NA,NA,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,Lahj,Tuban,Al Hawtah - Tuban,Al Kandam Camp ,YE2515 - 1259,3/1/2018,215,36,none,./merge/red.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/YEM_CCCM_Al Kandam Camp .pdf
